image_name,label,aesthetic_score,face_box,person_box
Accountant_000046_55bf7e.png,Accountant,3.204,"[233, 27, 339, 165]","[126, 0, 474, 511]"
Accountant_000047_3a2580.png,Accountant,3.518,"[213, 38, 245, 81]","[155, 26, 297, 455]"
Accountant_000048_74759c.png,Accountant,4.481,"[225, 37, 261, 88]","[154, 30, 303, 500]"
Accountant_000050_1ff167.png,Accountant,3.522,"[255, 21, 340, 139]","[211, 0, 511, 371]"
Accountant_000051_7b5a88.png,Accountant,4.112,"[394, 59, 479, 176]","[274, 23, 511, 510]"
Accountant_000053_235f21.png,Accountant,3.734,"[222, 109, 252, 151]","[180, 103, 288, 495]"
Accountant_000054_c0d41d.png,Accountant,4.42,"[240, 99, 275, 145]","[205, 85, 324, 487]"
Accountant_000055_a6c6bb.png,Accountant,4.641,"[322, 75, 427, 225]","[222, 26, 511, 509]"
Accountant_000056_aea931.png,Accountant,4.177,"[281, 55, 375, 174]","[139, 24, 509, 511]"
Accountant_000057_04ae34.png,Accountant,4.39,"[159, 4, 248, 130]","[7, 0, 381, 511]"
Accountant_000058_3ee6ee.png,Accountant,3.97,"[134, 102, 214, 205]","[2, 60, 278, 511]"
Accountant_000059_4d835e.png,Accountant,3.325,"[202, 49, 286, 161]","[139, 1, 403, 511]"
Accountant_000061_a85716.png,Accountant,4.336,"[107, 64, 139, 108]","[99, 47, 206, 504]"
Accountant_000063_b3a83e.png,Accountant,4.242,"[127, 62, 156, 103]","[57, 50, 192, 455]"
Accountant_000065_55e843.png,Accountant,4.343,"[251, 14, 287, 64]","[197, 2, 336, 458]"
Accountant_000067_25142d.png,Accountant,4.757,"[139, 152, 165, 188]","[90, 147, 195, 497]"
Accountant_000072_a97bdf.png,Accountant,4.267,"[319, 112, 399, 213]","[214, 81, 511, 461]"
Accountant_000073_98e301.png,Accountant,3.9,"[237, 57, 274, 101]","[189, 38, 326, 476]"
Accountant_000074_68a337.png,Accountant,3.592,"[236, 248, 256, 273]","[218, 236, 288, 465]"
Accountant_000076_181a6f.png,Accountant,4.369,"[218, 37, 281, 117]","[183, 21, 387, 485]"
Accountant_000077_f9d225.png,Accountant,3.962,"[232, 67, 323, 185]","[126, 38, 442, 511]"
Accountant_000079_a119e1.png,Accountant,3.679,"[221, 96, 301, 193]","[80, 38, 393, 512]"
Accountant_000080_eae57c.png,Accountant,4.128,"[168, 72, 219, 142]","[96, 51, 283, 511]"
Accountant_000082_11071c.png,Accountant,4.035,"[138, 54, 176, 109]","[83, 40, 273, 501]"
Accountant_000084_404a55.png,Accountant,3.887,"[210, 51, 290, 162]","[100, 21, 381, 511]"
Accountant_000085_fa1551.png,Accountant,4.031,"[172, 105, 219, 167]","[125, 89, 290, 511]"
Accountant_000086_97f88b.png,Accountant,3.892,"[233, 41, 268, 90]","[191, 30, 319, 472]"
Accountant_000087_602d3a.png,Accountant,3.513,"[189, 0, 313, 112]","[7, 0, 469, 511]"
Accountant_000091_99d210.png,Accountant,3.366,"[133, 49, 225, 170]","[12, 6, 375, 511]"
Accountant_000092_720a2a.png,Accountant,3.872,"[248, 0, 286, 24]","[188, 0, 325, 478]"
Accountant_000094_db1501.png,Accountant,3.906,"[121, 62, 200, 170]","[27, 28, 383, 507]"
Accountant_000097_5a0a76.png,Accountant,4.035,"[213, 40, 306, 167]","[19, 0, 506, 493]"
Accountant_000099_1293f1.png,Accountant,4.325,"[363, 147, 391, 183]","[320, 136, 431, 482]"
Accountant_000101_467615.png,Accountant,3.948,"[123, 47, 164, 105]","[73, 33, 214, 511]"
Accountant_000102_a0db18.png,Accountant,4.509,"[225, 32, 261, 76]","[187, 21, 312, 459]"
Accountant_000103_54cd36.png,Accountant,4.137,"[264, 74, 304, 131]","[214, 58, 357, 429]"
Accountant_000104_16ed90.png,Accountant,3.86,"[175, 0, 335, 119]","[0, 0, 503, 512]"
Accountant_000105_f479cb.png,Accountant,4.251,"[243, 219, 270, 258]","[197, 209, 322, 511]"
Accountant_000106_a55948.png,Accountant,4.031,"[229, 40, 333, 179]","[96, 4, 430, 511]"
Accountant_000108_b779c3.png,Accountant,3.676,"[227, 35, 265, 82]","[172, 18, 344, 506]"
Accountant_000111_e0a2fb.png,Accountant,4.538,"[156, 129, 184, 174]","[103, 122, 246, 490]"
Accountant_000112_776148.png,Accountant,4.358,"[235, 33, 275, 90]","[172, 24, 317, 503]"
Accountant_000113_e8c839.png,Accountant,3.641,"[316, 67, 380, 157]","[220, 45, 463, 510]"
Accountant_000116_d5eb3a.png,Accountant,4.417,"[125, 28, 162, 81]","[64, 12, 215, 507]"
Accountant_000117_53741d.png,Accountant,4.198,"[158, 53, 200, 110]","[96, 38, 232, 509]"
Accountant_000118_9b2579.png,Accountant,3.71,"[232, 63, 268, 116]","[196, 50, 311, 488]"
Accountant_000119_6be30a.png,Accountant,4.017,"[234, 56, 292, 137]","[167, 33, 361, 511]"
Accountant_000120_2de7bb.png,Accountant,3.811,"[215, 40, 252, 90]","[147, 18, 318, 505]"
Accountant_000122_ef2145.png,Accountant,4.491,"[177, 101, 210, 147]","[133, 96, 256, 487]"
Accountant_000123_4b17ba.png,Accountant,4.807,"[303, 163, 363, 246]","[204, 141, 431, 442]"
Accountant_000125_d58de4.png,Accountant,4.055,"[304, 87, 406, 216]","[148, 12, 511, 434]"
Accountant_000126_e0564d.png,Accountant,4.841,"[226, 51, 310, 171]","[117, 29, 430, 511]"
Accountant_000129_71eef1.png,Accountant,4.366,"[223, 49, 307, 164]","[73, 25, 403, 510]"
Accountant_000130_f8d9fa.png,Accountant,3.643,"[181, 65, 274, 197]","[127, 25, 430, 511]"
Accountant_000131_a1faab.png,Accountant,4.665,"[102, 69, 196, 208]","[0, 35, 315, 511]"
Accountant_000134_1d428d.png,Accountant,3.872,"[250, 78, 341, 196]","[205, 51, 465, 510]"
Accountant_000136_c302ef.png,Accountant,4.657,"[225, 69, 252, 108]","[170, 64, 257, 478]"
Accountant_000138_af0ac9.png,Accountant,4.404,"[299, 108, 330, 150]","[260, 101, 360, 494]"
Accountant_000141_562f3d.png,Accountant,4.374,"[211, 28, 245, 88]","[127, 14, 275, 492]"
Accountant_000142_0dde99.png,Accountant,4.056,"[357, 16, 392, 65]","[310, 12, 459, 448]"
Accountant_000143_11f84a.png,Accountant,5.101,"[290, 134, 322, 176]","[247, 125, 363, 496]"
Accountant_000144_549b01.png,Accountant,4.36,"[404, 118, 432, 158]","[363, 103, 472, 476]"
Accountant_000145_c75ac1.png,Accountant,4.356,"[231, 78, 267, 131]","[190, 63, 315, 511]"
Accountant_000147_7586d4.png,Accountant,4.48,"[106, 55, 139, 100]","[55, 38, 228, 481]"
Accountant_000148_c15d7b.png,Accountant,4.102,"[116, 125, 140, 159]","[93, 118, 176, 430]"
Accountant_000149_4d8865.png,Accountant,4.435,"[196, 86, 231, 134]","[148, 74, 276, 511]"
Accountant_000150_4e95cd.png,Accountant,3.907,"[216, 52, 283, 145]","[131, 30, 361, 510]"
Accountant_000152_223910.png,Accountant,3.75,"[345, 111, 445, 246]","[177, 45, 511, 511]"
Accountant_000154_6ffbfc.png,Accountant,4.628,"[325, 99, 352, 138]","[288, 89, 401, 448]"
Accountant_000155_269806.png,Accountant,4.106,"[245, 93, 321, 194]","[168, 66, 428, 510]"
Accountant_000156_41331d.png,Accountant,4.644,"[386, 56, 419, 101]","[328, 36, 476, 476]"
Accountant_000157_31aa61.png,Accountant,3.648,"[279, 38, 312, 84]","[235, 20, 370, 503]"
Accountant_000158_950add.png,Accountant,3.562,"[136, 68, 238, 207]","[0, 28, 398, 509]"
Accountant_000159_2154f9.png,Accountant,4.234,"[247, 138, 296, 206]","[172, 112, 361, 512]"
Accountant_000160_226ad5.png,Accountant,5.037,"[235, 42, 269, 93]","[177, 32, 343, 503]"
Accountant_000161_9e299a.png,Accountant,4.57,"[226, 149, 258, 197]","[181, 141, 295, 511]"
Accountant_000162_173890.png,Accountant,5.313,"[301, 65, 397, 193]","[166, 20, 510, 512]"
Accountant_000163_19fc72.png,Accountant,3.631,"[360, 74, 393, 118]","[306, 62, 444, 487]"
Accountant_000164_1ad2b1.png,Accountant,3.379,"[249, 72, 343, 182]","[127, 2, 484, 508]"
Accountant_000165_4292b7.png,Accountant,5.034,"[228, 185, 276, 261]","[136, 165, 312, 473]"
Accountant_000168_bfb238.png,Accountant,4.005,"[208, 31, 300, 162]","[52, 4, 445, 511]"
Accountant_000170_8abb9b.png,Accountant,4.377,"[252, 27, 343, 155]","[131, 1, 446, 455]"
Accountant_000171_82a822.png,Accountant,3.696,"[281, 25, 319, 78]","[230, 13, 391, 510]"
Accountant_000178_b1913f.png,Accountant,3.139,"[371, 16, 415, 71]","[326, 7, 512, 498]"
Accountant_000181_328962.png,Accountant,3.78,"[166, 34, 255, 180]","[15, 0, 407, 510]"
Accountant_000182_d71d8e.png,Accountant,3.358,"[189, 62, 285, 180]","[79, 13, 378, 511]"
Accountant_000183_d2c92a.png,Accountant,3.867,"[281, 58, 377, 178]","[157, 26, 487, 511]"
Accountant_000186_6b6b04.png,Accountant,3.809,"[259, 30, 296, 85]","[195, 11, 360, 512]"
Accountant_000188_d5693f.png,Accountant,4.224,"[265, 68, 298, 115]","[215, 58, 377, 474]"
Accountant_000190_128e92.png,Accountant,3.49,"[210, 45, 295, 158]","[103, 11, 435, 510]"
Accountant_000191_d553ab.png,Accountant,4.028,"[256, 151, 283, 191]","[213, 139, 318, 482]"
Accountant_000192_fc468c.png,Accountant,3.8,"[196, 61, 306, 203]","[70, 1, 439, 511]"
Accountant_000193_23aab2.png,Accountant,3.626,"[216, 92, 246, 129]","[179, 81, 303, 481]"
Accountant_000194_a464d0.png,Accountant,3.827,"[205, 75, 272, 166]","[117, 55, 350, 511]"
Accountant_000195_da5ca8.png,Accountant,4.474,"[292, 76, 332, 131]","[253, 67, 382, 503]"
Accountant_000197_91cec0.png,Accountant,3.088,"[188, 142, 210, 175]","[148, 135, 243, 445]"
Accountant_000198_2f80a4.png,Accountant,4.359,"[409, 60, 443, 108]","[340, 45, 491, 461]"
Accountant_000200_41b278.png,Accountant,4.219,"[212, 112, 254, 167]","[145, 103, 315, 492]"
Accountant_000201_7e1c10.png,Accountant,3.799,"[187, 61, 277, 191]","[116, 24, 429, 511]"
Accountant_000203_5d9d8d.png,Accountant,4.034,"[225, 39, 299, 141]","[139, 14, 405, 509]"
Accountant_000205_555932.png,Accountant,3.93,"[264, 30, 303, 85]","[207, 17, 368, 501]"
Accountant_000207_9b6ad5.png,Accountant,3.458,"[147, 52, 256, 200]","[14, 13, 405, 511]"
Accountant_000208_f66057.png,Accountant,4.165,"[217, 36, 297, 147]","[92, 14, 396, 511]"
Accountant_000209_eb5c15.png,Accountant,4.032,"[187, 73, 256, 163]","[86, 49, 450, 511]"
Accountant_000210_d336f2.png,Accountant,4.146,"[189, 126, 291, 260]","[32, 65, 431, 476]"
Accountant_000212_ee2fd4.png,Accountant,4.01,"[237, 113, 270, 161]","[198, 106, 312, 510]"
Accountant_000213_ada23d.png,Accountant,4.775,"[261, 74, 291, 116]","[216, 57, 323, 469]"
Accountant_000214_b37e47.png,Accountant,3.435,"[318, 58, 412, 184]","[236, 23, 511, 511]"
Accountant_000215_452a4f.png,Accountant,4.935,"[266, 23, 306, 83]","[215, 13, 355, 496]"
Accountant_000216_da0d8e.png,Accountant,4.838,"[241, 100, 276, 146]","[162, 92, 315, 473]"
Accountant_000217_77e837.png,Accountant,3.775,"[214, 61, 282, 153]","[140, 37, 379, 511]"
Accountant_000218_0b2ae0.png,Accountant,3.804,"[176, 48, 286, 201]","[75, 15, 423, 503]"
Accountant_000221_29eed9.png,Accountant,3.435,"[247, 44, 320, 146]","[163, 15, 411, 511]"
Accountant_000222_33499f.png,Accountant,4.078,"[285, 99, 358, 205]","[179, 77, 459, 511]"
Accountant_000224_1ace37.png,Accountant,4.42,"[215, 0, 269, 61]","[119, 0, 329, 511]"
Accountant_000225_b1d1d1.png,Accountant,4.237,"[121, 54, 159, 109]","[60, 43, 213, 512]"
Accountant_000227_dfca3b.png,Accountant,4.113,"[250, 41, 352, 181]","[99, 14, 496, 511]"
Accountant_000228_0d18d2.png,Accountant,3.865,"[232, 24, 266, 76]","[180, 13, 336, 457]"
Accountant_000233_5fcdb7.png,Accountant,4.574,"[266, 86, 292, 127]","[183, 71, 306, 483]"
Accountant_000234_abc4ca.png,Accountant,4.608,"[204, 55, 261, 134]","[118, 34, 389, 511]"
Accountant_000236_cbc613.png,Accountant,3.233,"[228, 24, 310, 127]","[59, 0, 504, 512]"
Accountant_000237_6dd523.png,Accountant,3.868,"[218, 75, 307, 196]","[96, 31, 415, 511]"
Accountant_000238_8c22ee.png,Accountant,4.034,"[206, 74, 290, 191]","[89, 36, 400, 511]"
Accountant_000239_1b13d1.png,Accountant,4.952,"[231, 38, 289, 115]","[168, 15, 376, 511]"
Accountant_000240_dfa2bc.png,Accountant,3.868,"[246, 165, 271, 197]","[206, 157, 302, 468]"
Accountant_000241_1e7ee4.png,Accountant,5.502,"[381, 77, 419, 126]","[341, 66, 451, 486]"
Accountant_000243_bff974.png,Accountant,3.187,"[316, 13, 425, 153]","[177, 0, 511, 511]"
Accountant_000244_a63cf0.png,Accountant,3.994,"[260, 67, 291, 112]","[138, 59, 375, 470]"
Accountant_000245_eb6a5a.png,Accountant,3.119,"[210, 61, 274, 151]","[119, 40, 360, 510]"
Accountant_000246_855583.png,Accountant,4.447,"[231, 29, 269, 79]","[167, 18, 323, 497]"
Accountant_000247_4cf0f8.png,Accountant,4.606,"[273, 27, 313, 85]","[195, 10, 377, 507]"
Accountant_000248_bd55fa.png,Accountant,3.676,"[208, 0, 303, 106]","[100, 0, 440, 511]"
Accountant_000250_d3df6f.png,Accountant,4.571,"[147, 99, 204, 184]","[68, 81, 283, 510]"
Accountant_000252_2433a8.png,Accountant,3.557,"[392, 0, 501, 145]","[177, 0, 511, 512]"
Accountant_000253_899735.png,Accountant,3.665,"[110, 107, 193, 222]","[12, 68, 324, 510]"
Accountant_000254_bc0d76.png,Accountant,3.475,"[243, 79, 276, 119]","[187, 65, 316, 473]"
Accountant_000257_a11ef7.png,Accountant,4.451,"[306, 28, 362, 100]","[190, 5, 442, 510]"
Accountant_000258_275c98.png,Accountant,4.551,"[149, 76, 239, 191]","[35, 52, 407, 510]"
Accountant_000260_6ee549.png,Accountant,3.694,"[351, 64, 421, 163]","[279, 47, 511, 511]"
Accountant_000261_9f854c.png,Accountant,4.24,"[134, 134, 161, 169]","[105, 128, 185, 467]"
Accountant_000262_40903f.png,Accountant,4.023,"[53, 65, 120, 161]","[0, 39, 197, 510]"
Accountant_000263_33b4d6.png,Accountant,4.186,"[243, 106, 273, 148]","[203, 94, 310, 459]"
Accountant_000264_13515d.png,Accountant,4.28,"[258, 71, 320, 167]","[176, 47, 380, 457]"
Accountant_000265_17a6b6.png,Accountant,3.946,"[114, 95, 143, 133]","[59, 83, 178, 467]"
Accountant_000266_ac8be9.png,Accountant,3.477,"[240, 106, 275, 154]","[196, 93, 321, 511]"
Accountant_000268_823b69.png,Accountant,4.31,"[201, 72, 279, 178]","[86, 40, 366, 511]"
Accountant_000269_3ec248.png,Accountant,4.645,"[213, 64, 248, 116]","[172, 58, 315, 490]"
Accountant_000272_5b47ba.png,Accountant,4.596,"[384, 64, 466, 175]","[299, 39, 511, 511]"
Accountant_000274_c3a20f.png,Accountant,3.334,"[259, 0, 348, 90]","[171, 0, 485, 512]"
Accountant_000276_d54fee.png,Accountant,3.906,"[186, 138, 220, 189]","[150, 132, 274, 511]"
Accountant_000277_c54fd0.png,Accountant,3.662,"[225, 102, 257, 144]","[180, 90, 307, 483]"
Accountant_000280_3459a8.png,Accountant,3.749,"[226, 0, 279, 69]","[154, 0, 371, 511]"
Accountant_000281_f3ab84.png,Accountant,4.537,"[134, 42, 159, 80]","[82, 35, 188, 373]"
Accountant_000285_7d81e0.png,Accountant,3.918,"[211, 48, 287, 151]","[100, 26, 356, 510]"
Accountant_000286_9d019b.png,Accountant,5.048,"[59, 62, 140, 175]","[0, 36, 207, 510]"
Accountant_000287_a4b731.png,Accountant,3.768,"[163, 24, 262, 167]","[0, 0, 396, 434]"
Accountant_000288_5fbc50.png,Accountant,3.884,"[123, 70, 220, 201]","[1, 25, 343, 511]"
Accountant_000289_cc78f6.png,Accountant,3.72,"[264, 56, 367, 192]","[120, 15, 511, 511]"
Accountant_000290_b22655.png,Accountant,4.195,"[257, 48, 294, 96]","[212, 31, 357, 510]"
Accountant_000291_619671.png,Accountant,4.242,"[415, 56, 464, 127]","[335, 43, 505, 511]"
Accountant_000292_d04220.png,Accountant,3.805,"[100, 90, 184, 202]","[4, 47, 316, 510]"
Accountant_000296_e5e19e.png,Accountant,3.963,"[171, 120, 245, 222]","[75, 107, 355, 511]"
Accountant_000297_bb0b4d.png,Accountant,4.656,"[334, 65, 370, 114]","[310, 54, 421, 480]"
Accountant_000299_b93124.png,Accountant,4.695,"[214, 62, 274, 150]","[139, 47, 325, 510]"
Accountant_000300_2d6acf.png,Accountant,4.869,"[239, 26, 280, 82]","[184, 15, 380, 493]"
Accountant_000301_26d200.png,Accountant,3.504,"[265, 74, 345, 187]","[156, 51, 426, 511]"
Accountant_000302_5cb79b.png,Accountant,3.526,"[123, 153, 171, 221]","[86, 132, 260, 506]"
Accountant_000303_cf8b8c.png,Accountant,4.707,"[206, 85, 245, 138]","[151, 78, 295, 511]"
Accountant_000305_4eee71.png,Accountant,5.064,"[63, 143, 89, 178]","[22, 133, 137, 468]"
Accountant_000306_09ee24.png,Accountant,4.03,"[173, 52, 212, 108]","[124, 38, 275, 512]"
Accountant_000307_0bb893.png,Accountant,4.69,"[250, 22, 291, 79]","[212, 8, 355, 509]"
Accountant_000308_453f3a.png,Accountant,3.179,"[164, 0, 294, 134]","[17, 0, 469, 512]"
Accountant_000310_f31588.png,Accountant,4.044,"[220, 22, 316, 156]","[105, 0, 431, 510]"
Accountant_000311_aac693.png,Accountant,4.414,"[305, 72, 395, 195]","[241, 32, 505, 511]"
Accountant_000312_9b6d55.png,Accountant,3.803,"[103, 86, 133, 130]","[65, 81, 184, 457]"
Accountant_000313_e3ca27.png,Accountant,3.619,"[238, 45, 309, 143]","[129, 22, 410, 510]"
Accountant_000315_4f0c5c.png,Accountant,3.76,"[216, 46, 265, 118]","[141, 29, 340, 511]"
Accountant_000317_278fa2.png,Accountant,3.096,"[207, 110, 237, 147]","[168, 97, 273, 510]"
Accountant_000318_9a0e9a.png,Accountant,4.512,"[233, 60, 310, 168]","[139, 37, 440, 455]"
Accountant_000319_c49003.png,Accountant,4.771,"[156, 80, 185, 126]","[92, 72, 202, 500]"
Accountant_000321_c983a8.png,Accountant,3.862,"[247, 62, 271, 89]","[219, 48, 305, 188]"
Accountant_000324_0e29ee.png,Accountant,3.991,"[193, 61, 283, 183]","[84, 32, 391, 510]"
Accountant_000325_874455.png,Accountant,4.271,"[204, 126, 244, 175]","[174, 112, 349, 472]"
Accountant_000326_266560.png,Accountant,3.754,"[202, 33, 294, 158]","[118, 9, 408, 511]"
Accountant_000328_a3607b.png,Accountant,3.635,"[212, 39, 268, 111]","[73, 16, 323, 511]"
Accountant_000329_b29c55.png,Accountant,3.781,"[215, 0, 258, 58]","[173, 0, 334, 511]"
Accountant_000330_2eae58.png,Accountant,4.164,"[196, 60, 295, 199]","[81, 30, 495, 449]"
Accountant_000331_820263.png,Accountant,4.5,"[165, 104, 199, 147]","[113, 90, 243, 485]"
Accountant_000332_4d28ff.png,Accountant,4.883,"[235, 54, 271, 105]","[190, 42, 327, 510]"
Accountant_000335_7d1e3a.png,Accountant,4.474,"[146, 88, 180, 136]","[71, 76, 232, 484]"
Accountant_000336_254555.png,Accountant,4.526,"[314, 76, 385, 177]","[236, 46, 495, 511]"
Accountant_000337_35daca.png,Accountant,5.249,"[236, 131, 263, 168]","[205, 120, 290, 488]"
Accountant_000339_eb493a.png,Accountant,4.314,"[262, 49, 357, 182]","[190, 18, 511, 511]"
Accountant_000340_7ddb9d.png,Accountant,3.828,"[239, 106, 272, 150]","[177, 93, 313, 497]"
Accountant_000341_e9af76.png,Accountant,4.273,"[202, 59, 301, 199]","[52, 23, 477, 512]"
Accountant_000343_bc14cb.png,Accountant,4.269,"[285, 40, 320, 90]","[228, 21, 372, 500]"
Accountant_000344_986d4d.png,Accountant,4.515,"[313, 92, 389, 195]","[222, 66, 481, 511]"
Accountant_000347_d990b6.png,Accountant,4.599,"[187, 44, 222, 94]","[104, 26, 303, 486]"
Accountant_000348_5e3168.png,Accountant,4.69,"[172, 19, 212, 73]","[45, 10, 259, 491]"
Accountant_000350_07f9c8.png,Accountant,3.64,"[126, 51, 215, 173]","[0, 27, 280, 510]"
Accountant_000351_4ee703.png,Accountant,3.898,"[218, 46, 250, 98]","[149, 24, 301, 488]"
Accountant_000353_f8a967.png,Accountant,3.869,"[188, 98, 250, 196]","[131, 76, 338, 511]"
Accountant_000355_d904e4.png,Accountant,3.883,"[127, 19, 160, 65]","[75, 1, 220, 510]"
Accountant_000356_daac1d.png,Accountant,4.302,"[239, 61, 274, 110]","[198, 47, 319, 479]"
Accountant_000357_e147bc.png,Accountant,4.401,"[229, 90, 263, 134]","[188, 82, 307, 481]"
Accountant_000358_f77f9a.png,Accountant,4.14,"[228, 95, 280, 168]","[150, 78, 407, 511]"
Accountant_000360_8c3391.png,Accountant,4.318,"[69, 48, 133, 136]","[0, 28, 211, 511]"
Accountant_000362_bc4dc3.png,Accountant,3.378,"[240, 8, 279, 59]","[183, 0, 334, 510]"
Accountant_000365_6d3d67.png,Accountant,3.037,"[178, 0, 277, 119]","[23, 0, 490, 511]"
Accountant_000367_0028d4.png,Accountant,3.458,"[225, 0, 267, 47]","[153, 0, 288, 500]"
Accountant_000369_0d1f79.png,Accountant,3.896,"[237, 40, 304, 130]","[166, 14, 419, 511]"
Accountant_000370_5db8e6.png,Accountant,4.821,"[157, 88, 191, 134]","[96, 77, 235, 492]"
Accountant_000371_29d561.png,Accountant,4.131,"[149, 90, 196, 156]","[90, 79, 255, 510]"
Accountant_000372_29bc5c.png,Accountant,4.119,"[314, 74, 391, 175]","[231, 51, 469, 511]"
Accountant_000377_42ccba.png,Accountant,3.466,"[100, 65, 165, 158]","[14, 41, 252, 511]"
Accountant_000378_936736.png,Accountant,4.28,"[211, 82, 286, 179]","[120, 62, 386, 510]"
Accountant_000379_93ba2a.png,Accountant,5.115,"[115, 161, 140, 192]","[81, 146, 174, 464]"
Accountant_000380_78b6f7.png,Accountant,3.888,"[321, 129, 405, 228]","[224, 114, 511, 511]"
Accountant_000381_592dca.png,Accountant,3.861,"[164, 0, 210, 56]","[103, 0, 261, 511]"
Accountant_000382_30e5d9.png,Accountant,3.622,"[217, 133, 274, 213]","[137, 119, 327, 511]"
Accountant_000386_782606.png,Accountant,4.049,"[137, 124, 196, 210]","[62, 103, 335, 511]"
Accountant_000387_0ca7eb.png,Accountant,4.853,"[90, 34, 128, 85]","[33, 18, 188, 496]"
Accountant_000388_5837d5.png,Accountant,3.883,"[231, 58, 269, 110]","[178, 38, 322, 500]"
Accountant_000389_ceb275.png,Accountant,3.899,"[223, 75, 302, 189]","[87, 48, 426, 511]"
Accountant_000390_cb24b5.png,Accountant,3.872,"[164, 84, 195, 126]","[106, 70, 249, 477]"
Accountant_000391_31866e.png,Accountant,4.332,"[140, 93, 191, 166]","[78, 77, 268, 511]"
Accountant_000392_50a96d.png,Accountant,4.938,"[88, 73, 162, 171]","[0, 50, 242, 511]"
Accountant_000393_cbb4cb.png,Accountant,4.734,"[270, 46, 330, 132]","[190, 26, 427, 511]"
Accountant_000394_c09d4d.png,Accountant,4.319,"[219, 38, 256, 90]","[165, 31, 315, 492]"
Accountant_000395_a5a6df.png,Accountant,5.436,"[381, 50, 416, 100]","[331, 35, 460, 491]"
Accountant_000396_4f12c9.png,Accountant,4.537,"[236, 88, 266, 128]","[171, 74, 311, 499]"
Accountant_000399_a47e8b.png,Accountant,4.606,"[239, 62, 269, 100]","[197, 49, 313, 443]"
Accountant_000400_5758e7.png,Accountant,4.294,"[118, 32, 151, 81]","[59, 21, 200, 462]"
Accountant_000401_f0160a.png,Accountant,3.248,"[222, 99, 348, 217]","[30, 41, 457, 511]"
